"","transect","transect.length","habitat","regeneration","distrubance.rank","survey.ID","period","Eulemur.count","Hapalemur.count","Varecia.count","Propithecus.count","Indri.count","Lepilemur.count","Avahi.count","Microcebus.count","functional.group","encounter.rate"
"166","F",800,"Protected","Intact","3",4,"Afternoon",0,0,3,0,0,0,0,0,"microcebus",0
"167","C",325,"Savoka","Regenerating","6",5,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"168","C",325,"Savoka","Regenerating","6",6,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"169","D",350,"Restoration","Regenerating","5",7,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"170","A",1000,"Protected","Intact","2",8,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"171","B",1000,"Protected","Intact","1",9,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"172","F",800,"Protected","Intact","3",10,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"173","E",375,"Restoration","Regenerating","4",11,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"174","C",325,"Savoka","Regenerating","6",12,"Nocturnal",0,0,0,0,0,0,0,2,"microcebus",0.006153846
"175","D",350,"Restoration","Regenerating","5",13,"Nocturnal",0,0,0,0,0,0,0,6,"microcebus",0.017142857
"176","E",375,"Restoration","Regenerating","4",14,"Nocturnal",0,0,0,0,0,0,0,8,"microcebus",0.021333333
"177","D",350,"Restoration","Regenerating","5",15,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"178","C",325,"Savoka","Regenerating","6",16,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"179","B",1000,"Protected","Intact","1",17,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"180","A",1000,"Protected","Intact","2",18,"Afternoon",0,0,1,1,3,0,0,0,"microcebus",0
"181","E",375,"Restoration","Regenerating","4",19,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"182","F",800,"Protected","Intact","3",20,"Afternoon",0,3,0,5,0,0,0,0,"microcebus",0
"183","B",1000,"Protected","Intact","1",21,"Nocturnal",0,0,0,0,0,2,4,0,"microcebus",0
"184","F",800,"Protected","Intact","3",22,"Nocturnal",0,0,0,0,0,1,2,2,"microcebus",0.0025
"185","A",1000,"Protected","Intact","2",23,"Nocturnal",0,0,0,0,0,6,0,0,"microcebus",0
"186","C",325,"Savoka","Regenerating","6",24,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"187","D",350,"Restoration","Regenerating","5",25,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"188","A",1000,"Protected","Intact","2",26,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"189","B",1000,"Protected","Intact","1",27,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"190","F",800,"Protected","Intact","3",28,"Morning",0,7,0,0,0,0,0,0,"microcebus",0
"191","C",325,"Savoka","Regenerating","6",29,"Nocturnal",0,0,0,0,0,0,0,6,"microcebus",0.018461538
"192","D",350,"Restoration","Regenerating","5",30,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"193","C",325,"Savoka","Regenerating","6",31,"Nocturnal",0,0,0,0,0,0,0,3,"microcebus",0.009230769
"194","D",350,"Restoration","Regenerating","5",32,"Nocturnal",0,0,0,0,0,0,0,0,"microcebus",0
"195","F",800,"Protected","Intact","3",33,"Nocturnal",0,0,0,0,0,3,4,0,"microcebus",0
"196","B",1000,"Protected","Intact","1",34,"Nocturnal",0,0,0,0,0,0,0,1,"microcebus",0.001
"197","C",325,"Savoka","Regenerating","6",35,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"198","A",1000,"Protected","Intact","2",36,"Afternoon",0,0,0,5,3,0,0,0,"microcebus",0
"199","D",350,"Restoration","Regenerating","5",37,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"200","E",375,"Restoration","Regenerating","4",38,"Nocturnal",0,0,0,0,0,0,0,3,"microcebus",0.008
"201","F",800,"Protected","Intact","3",39,"Nocturnal",0,0,0,0,0,1,4,1,"microcebus",0.00125
"202","A",1000,"Protected","Intact","2",40,"Nocturnal",0,0,0,0,0,7,6,1,"microcebus",0.001
"203","D",350,"Restoration","Regenerating","5",41,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"204","C",325,"Savoka","Regenerating","6",42,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"205","E",375,"Restoration","Regenerating","4",43,"Nocturnal",0,0,0,0,0,0,0,3,"microcebus",0.008
"206","A",1000,"Protected","Intact","2",44,"Morning",0,0,0,0,1,0,0,0,"microcebus",0
"207","B",1000,"Protected","Intact","1",45,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"208","E",375,"Restoration","Regenerating","4",46,"Afternoon",2,0,0,0,0,0,0,0,"microcebus",0
"209","B",1000,"Protected","Intact","1",47,"Nocturnal",0,0,0,0,0,0,0,0,"microcebus",0
"210","E",375,"Restoration","Regenerating","4",48,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"211","F",800,"Protected","Intact","3",49,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"212","B",1000,"Protected","Intact","1",50,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
"213","A",1000,"Protected","Intact","2",51,"Nocturnal",0,0,0,0,0,4,3,1,"microcebus",0.001
"214","E",375,"Restoration","Regenerating","4",52,"Afternoon",0,0,0,0,0,0,0,0,"microcebus",0
"215","F",800,"Protected","Intact","3",53,"Morning",0,0,0,0,4,0,0,0,"microcebus",0
"216","D",350,"Restoration","Regenerating","5",54,"Nocturnal",0,0,0,0,0,0,0,3,"microcebus",0.008571429
